clinical_feature	cor	pval	component	padjust	log10padjust	cancer
age_at_initial_pathologic_diagnosis	0.129777104354435	0.0124741222127065	PC2	0.0436594277444728	1.35992196100083	LIHC
initial_pathologic_dx_year	-0.0710551834856456	0.17378017638951	PC2	0.243292246945314	0.613871730619193	LIHC
last_contact_days_to	0.136721008364744	0.0342627787376281	PC2	0.0799464837211322	1.09720063303209	LIHC
DSS	0.0321739445043382	0.541173121429864	PC2	0.541173121429864	0.266663781742882	LIHC
DSS.time	0.168666195772524	0.00112698040380362	PC2	0.00788886282662533	2.10298559548706	LIHC
DFI	0.0558374942366638	0.321683452615424	PC2	0.375297361384661	0.425624488984492	LIHC
DFI.time	0.102477662381879	0.0688724000573278	PC2	0.120526700100324	0.91891673382146	LIHC
age_at_initial_pathologic_diagnosis	-0.0293636733554867	0.508201551880725	PC2	0.6776020691743	0.169025276482532	LGG
initial_pathologic_dx_year	0.270105726562171	5.62856953816053e-10	PC2	2.25142781526421e-09	8.6475419727228	LGG
last_contact_days_to	0.0168018879288549	0.742436832328212	PC2	0.742436832328212	0.129340490883876	LGG
DSS	-0.143881258511197	0.00122708198425521	PC2	0.00245416396851042	2.61009642439616	LGG
DSS.time	0.0216625284192531	0.625844134458936	PC2	0.715250439381642	0.145541866733516	LGG
Age..years.at.diagnosis.	-0.0239156199331719	0.611676755472214	PC2	0.715250439381642	0.145541866733516	LGG
Survival..months.	-0.0480635262601524	0.307378604427365	PC2	0.491805767083784	0.308206382880793	LGG
Vital.status..1.dead.	-0.179065778729577	0.000127269650630723	PC2	0.000407262882018312	3.3901251697549	LGG
Mutation.Count	-0.0148337284138165	0.738734246250233	PC2	0.742436832328212	0.129340490883876	LGG
Percent.aneuploidy	-0.0377466054036512	0.401908567526592	PC2	0.584594280038679	0.233145438311103	LGG
TERT.expression..log2.	0.147469321054965	0.00085653884620404	PC2	0.00195780307703781	2.70823099325647	LGG
ABSOLUTE.purity	0.173722974225565	0.000389980913182414	PC2	0.00103994910181977	2.98298791583559	LGG
ABSOLUTE.ploidy	0.0672313760722959	0.172660335827743	PC2	0.30695170813821	0.512929945496146	LGG
ESTIMATE.stromal.score	-0.563301105653838	0	PC2	0	Inf	LGG
ESTIMATE.immune.score	-0.617291675801194	0	PC2	0	Inf	LGG
ESTIMATE.combined.score	-0.617558777764118	0	PC2	0	Inf	LGG
age_at_initial_pathologic_diagnosis	-0.129493847004776	0.00339452220378107	PC1	0.00678904440756213	2.16819135056907	LGG
initial_pathologic_dx_year	-0.147150880420543	0.000858709972573008	PC1	0.00228989326019469	2.64018476114869	LGG
last_contact_days_to	0.0840047082582041	0.0997962898775955	PC1	0.122826202926271	0.91070897381082	LGG
DSS	-0.118570795787851	0.00782833225820255	PC1	0.0115152990377957	1.93872477947324	LGG
DSS.time	0.125714553250106	0.00450353000520184	PC1	0.00800627556480327	2.09656946616523	LGG
Age..years.at.diagnosis.	-0.124628465705486	0.00791676808848453	PC1	0.0115152990377957	1.93872477947324	LGG
Survival..months.	0.145189929586521	0.00194774474774304	PC1	0.00445198799484123	2.35144601544722	LGG
Vital.status..1.dead.	-0.103411040571642	0.0277500584208986	PC1	0.0370000778945315	1.43179736163221	LGG
Mutation.Count	-0.305778744138207	1.86334597820442e-12	PC1	7.45338391281768e-12	11.1276465083251	LGG
Percent.aneuploidy	-0.299132008342535	1.37182675926804e-11	PC1	4.38984562965772e-11	10.3575507515954	LGG
