class	entropy	silhouette	k	cancer	ID
1	0	1	k_2	UVM	TCGA-V4-A9EW-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-V4-A9F0-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9E7-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-WC-A880-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-VD-A8KK-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-WC-A87Y-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-RZ-AB0B-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-WC-A87W-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9EH-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-V4-A9EI-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-VD-AA8M-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-WC-A883-01A-12R-A405-07
2	0.904381457724494	0.542130380710047	k_2	UVM	TCGA-VD-A8KA-01B-11R-A405-07
1	0	1	k_2	UVM	TCGA-V4-A9F4-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-V4-A9F1-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9EZ-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9E8-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-VD-AA8R-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9F8-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-V4-A9EO-01A-12R-A405-07
1	0	1	k_2	UVM	TCGA-VD-A8KM-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-VD-A8KD-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9EF-01A-21R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9EY-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9EQ-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-V3-A9ZX-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-VD-A8KN-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-WC-A88A-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-VD-A8K7-01B-11R-A405-07
1	0	1	k_2	UVM	TCGA-VD-A8K9-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-VD-AA8S-01B-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-VD-A8KG-01A-11R-A405-07
2	0.904381457724494	0.542130380710047	k_2	UVM	TCGA-V4-A9EJ-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9E9-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-VD-AA8P-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-WC-A87U-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-YZ-A984-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-VD-AA8T-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-WC-A882-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-WC-A884-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-YZ-A985-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9E5-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-VD-AA8Q-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-V4-A9EX-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-VD-A8KF-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-VD-AA8O-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-V4-A9F7-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9F2-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-V4-A9EV-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9EM-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-VD-A8KL-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-WC-A87T-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9ED-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-VD-A8KJ-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-WC-A888-01A-11R-A405-07
2	0	0.982511380390376	k_2	UVM	TCGA-WC-A885-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-V4-A9EU-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-WC-AA9E-01A-11R-A405-07
