cancer	edges	coefficients	type
ACC	CREB3L4_CD274	-0.00679434743502095	PFI
ACC	DLX1_CD274	0.00405228598516374	PFI
ACC	GSC2_CD274	0.00559144071607984	PFI
ACC	HES1_CD274	-0.00406994970701489	PFI
ACC	HES2_CD274	-0.00984287750532238	PFI
ACC	HEY2_CD274	-0.00379209000623949	PFI
ACC	KLF13_CD274	-0.0449085854082384	PFI
ACC	KLF3_CD274	-0.0100290400146347	PFI
ACC	MYF6_CD274	0.00220982146422023	PFI
ACC	NFYB_CD274	-0.0497434009020308	PFI
ACC	PKNOX2_CD274	0.00658569212926251	PFI
ACC	SMAD4_CD274	0.0379797194950421	PFI
ACC	SOX13_CD274	0.00778578649905117	PFI
ACC	SOX3_CD274	0.0252361976266582	PFI
ACC	STAT1_CD274	0.0150847144840313	PFI
ACC	STAT5A_CD274	0.0306581725488496	PFI
ACC	STAT6_CD274	0.0212867090732825	PFI
ACC	TEAD1_CD274	0.00662010706703978	PFI
ACC	TGIF1_CD274	0.00926539933861132	PFI
ACC	TGIF2_CD274	0.00673474044051179	PFI
ACC	TGIF2LY_CD274	0.019964914254874	PFI
ACC	ZNF667_CD274	0.076349160593857	PFI
ACC	ZNF680_CD274	8.64051148077668e-05	PFI
ACC	CREB3L4_CD274	-0.00150067294905224	PFI
ACC	HES2_CD274	-0.00343366664364695	PFI
ACC	KLF13_CD274	-0.0303104962474322	PFI
ACC	KLF3_CD274	-0.000389528569448393	PFI
ACC	MYF6_CD274	0.00956948557762365	PFI
ACC	NFYB_CD274	-0.0293548188272201	PFI
ACC	PKNOX2_CD274	0.00326518398986195	PFI
ACC	SMAD4_CD274	0.0138361776492959	PFI
ACC	SOX13_CD274	0.00980840765200738	PFI
ACC	SOX3_CD274	0.0241039079848218	PFI
ACC	STAT1_CD274	0.0105946514258851	PFI
ACC	STAT5A_CD274	0.0242916616074459	PFI
ACC	STAT6_CD274	0.0198687455920809	PFI
ACC	TGIF1_CD274	0.00576195919255941	PFI
ACC	TGIF2_CD274	0.00371815456593549	PFI
ACC	ZNF667_CD274	0.0662510487799782	PFI
ACC	CREB3L4_CD274	-0.00722519324249153	PFI
ACC	DLX1_CD274	0.00553195233177428	PFI
ACC	GSC2_CD274	0.00724289347814474	PFI
ACC	HES1_CD274	-0.00490414766786713	PFI
ACC	HES2_CD274	-0.0105675139754201	PFI
ACC	HEY2_CD274	-0.00654816722530223	PFI
ACC	KLF13_CD274	-0.0476858179732208	PFI
ACC	KLF3_CD274	-0.0114665140105648	PFI
ACC	NFYB_CD274	-0.0535470118145675	PFI
ACC	PKNOX2_CD274	0.0069219996783465	PFI
ACC	SMAD4_CD274	0.042423054857169	PFI
ACC	SOX13_CD274	0.00705104950449817	PFI
ACC	SOX3_CD274	0.0250153272253225	PFI
ACC	STAT1_CD274	0.0155810358173296	PFI
ACC	STAT5A_CD274	0.0315754061455272	PFI
