cancer	pval	type	m	k	datatype
ACC	6.43252604623446e-07	PFI	run without warning	k_2	expression
ACC	0.000396737321171625	OS	run without warning	k_2	expression
ACC	7.73597560984058e-05	PFI	run without warning	k_4	indegree
ACC	0.000359158057535789	OS	run without warning	k_4	indegree
ACC	5.2561941824122e-06	PFI	run without warning	k_3	indegree
ACC	0.0010530156712057	OS	run without warning	k_3	indegree
ACC	0.000582479953321318	PFI	run without warning	k_2	indegree
ACC	0.0147742519990371	OS	run without warning	k_2	indegree
BLCA	0.187727246007247	PFI	run without warning	k_3	expression
BLCA	4.33939195259592e-05	OS	run without warning	k_3	expression
BLCA	0.0547792021853966	PFI	run without warning	k_2	expression
BLCA	8.80057334604856e-07	OS	run without warning	k_2	expression
BLCA	0.00527881084526539	PFI	run without warning	k_3	indegree
BLCA	1.53500948494895e-05	OS	run without warning	k_3	indegree
BLCA	0.197172630736898	PFI	run without warning	k_2	indegree
BLCA	0.000181371353505798	OS	run without warning	k_2	indegree
BRCA	0.854698246680079	PFI	run without warning	k_4	expression
BRCA	2.81293734927687e-05	OS	run without warning	k_4	expression
BRCA	0.909022488383462	PFI	run without warning	k_2	expression
BRCA	1.01762581753617e-05	OS	run without warning	k_2	expression
BRCA	0.877112421755994	PFI	run without warning	k_4	indegree
BRCA	5.18594534342407e-05	OS	run without warning	k_4	indegree
BRCA	0.612605170843192	PFI	run without warning	k_3	indegree
BRCA	3.09761217556471e-05	OS	run without warning	k_3	indegree
BRCA	0.655832918307156	PFI	run without warning	k_2	indegree
BRCA	9.26085308949432e-06	OS	run without warning	k_2	indegree
CESC	0.000974849375067175	PFI	run without warning	k_3	expression
CESC	0.0940540344694891	OS	run without warning	k_3	expression
CESC	0.0602221174199263	PFI	run without warning	k_3	indegree
CESC	0.105414828693426	OS	run without warning	k_3	indegree
CESC	0.0477473389074548	PFI	run without warning	k_2	indegree
CESC	0.169659045699081	OS	run without warning	k_2	indegree
CHOL	0.952172409000675	PFI	run without warning	k_2	expression
CHOL	0.743003060634063	OS	run without warning	k_2	expression
CHOL	0.45597125149291	PFI	run without warning	k_3	indegree
CHOL	0.741151202913787	OS	run without warning	k_3	indegree
CHOL	0.909778807723639	PFI	run without warning	k_2	indegree
CHOL	0.846424112004309	OS	run without warning	k_2	indegree
COAD	0.105622178380106	PFI	run without warning	k_2	expression
COAD	0.0721228776997857	OS	run without warning	k_2	expression
COAD	0.42481034806896	PFI	run without warning	k_4	indegree
COAD	0.0973160152750916	OS	run without warning	k_4	indegree
COAD	0.254840201964127	PFI	run without warning	k_3	indegree
COAD	0.129410011234348	OS	run without warning	k_3	indegree
COAD	0.335603469348757	PFI	run without warning	k_2	indegree
COAD	0.0963353217629824	OS	run without warning	k_2	indegree
DLBC	0.397542999411211	PFI	run without warning	k_3	expression
DLBC	0.679210105945348	OS	with warning	k_3	expression
DLBC	0.13906988796927	PFI	run without warning	k_2	expression
DLBC	0.706017977268104	OS	run without warning	k_2	expression
DLBC	0.668930682625249	PFI	with warning	k_6	indegree
DLBC	0.660410420769366	OS	with warning	k_6	indegree
ESCA	0.0349062853733483	PFI	run without warning	k_2	expression
ESCA	0.205779439537348	OS	run without warning	k_2	expression
ESCA	0.0490759266804527	PFI	run without warning	k_3	indegree
ESCA	0.289662913086337	OS	run without warning	k_3	indegree
ESCA	0.0327603666722908	PFI	run without warning	k_2	indegree
ESCA	0.211812798788101	OS	run without warning	k_2	indegree
GBM	0.0180737141727402	PFI	run without warning	k_2	expression
GBM	0.00459997989118359	OS	run without warning	k_2	expression
GBM	0.146337795263548	PFI	run without warning	k_5	indegree
GBM	0.00166140546908873	OS	run without warning	k_5	indegree
GBM	0.142807330770561	PFI	run without warning	k_3	indegree
GBM	0.00280907134792922	OS	run without warning	k_3	indegree
GBM	0.14046585291466	PFI	run without warning	k_2	indegree
GBM	0.00193324135909105	OS	run without warning	k_2	indegree
HNSC	0.498203049129186	PFI	run without warning	k_5	expression
HNSC	0.00507753855143254	OS	run without warning	k_5	expression
HNSC	0.375800398329888	PFI	run without warning	k_3	expression
HNSC	0.00264430807383609	OS	run without warning	k_3	expression
HNSC	0.115525142925817	PFI	run without warning	k_2	expression
HNSC	0.00501418613714703	OS	run without warning	k_2	expression
HNSC	0.379462834575618	PFI	run without warning	k_4	indegree
HNSC	0.0151685439127146	OS	run without warning	k_4	indegree
HNSC	0.468064116283856	PFI	run without warning	k_3	indegree
HNSC	0.0135524499390969	OS	run without warning	k_3	indegree
HNSC	0.51486283138041	PFI	run without warning	k_2	indegree
HNSC	0.00606884933457542	OS	run without warning	k_2	indegree
KICH	0.233119935752046	PFI	run without warning	k_3	expression
KICH	0.125319453030935	OS	run without warning	k_3	expression
KICH	0.300756704324825	PFI	run without warning	k_4	indegree
KICH	0.0581064930071378	OS	run without warning	k_4	indegree
KICH	0.431433434565107	PFI	run without warning	k_2	indegree
KICH	0.228334614951179	OS	run without warning	k_2	indegree
KIRC	2.77309999041141e-05	PFI	run without warning	k_2	expression
KIRC	1.88328082986246e-06	OS	run without warning	k_2	expression
KIRC	0.00253487363108565	PFI	run without warning	k_4	indegree
KIRC	1.69858123889045e-06	OS	run without warning	k_4	indegree
KIRC	0.000293683381408199	PFI	run without warning	k_3	indegree
KIRC	5.4398178697056e-07	OS	run without warning	k_3	indegree
KIRC	0.00852391090696369	PFI	run without warning	k_2	indegree
KIRC	4.53021198418763e-06	OS	run without warning	k_2	indegree
KIRP	0.178064020047491	PFI	run without warning	k_3	expression
KIRP	0.198908752966269	OS	run without warning	k_3	expression
KIRP	0.176823328084088	PFI	run without warning	k_2	expression
KIRP	0.390917656377953	OS	run without warning	k_2	expression
KIRP	0.0115837163443276	PFI	run without warning	k_3	indegree
KIRP	0.191917933203426	OS	run without warning	k_3	indegree
KIRP	0.0688397761947855	PFI	run without warning	k_2	indegree
KIRP	0.287527873303257	OS	run without warning	k_2	indegree
LAML	5.29943265215965e-07	OS	run without warning	k_3	expression
LAML	1.5136904933894e-05	OS	run without warning	k_4	indegree
LAML	2.63516394662693e-05	OS	run without warning	k_3	indegree
LAML	3.38855162518115e-05	OS	run without warning	k_2	indegree
LGG	7.75601944892438e-14	PFI	run without warning	k_5	expression
LGG	2.70897937977743e-23	OS	run without warning	k_5	expression
LGG	4.84198371040994e-14	PFI	run without warning	k_4	expression
LGG	1.29725698695151e-23	OS	run without warning	k_4	expression
LGG	2.23930588014374e-12	PFI	run without warning	k_3	expression
LGG	2.68794519056772e-21	OS	run without warning	k_3	expression
LGG	4.74134629455628e-12	PFI	run without warning	k_2	expression
LGG	2.04172526881776e-18	OS	run without warning	k_2	expression
LGG	6.05172841539444e-06	PFI	run without warning	k_4	indegree
LGG	7.86813010006992e-13	OS	run without warning	k_4	indegree
LGG	1.35908517648654e-05	PFI	run without warning	k_3	indegree
LGG	7.17191068476526e-13	OS	run without warning	k_3	indegree
LGG	8.23847021654249e-06	PFI	run without warning	k_2	indegree
LGG	4.02868467319835e-13	OS	run without warning	k_2	indegree
LIHC	0.456270835355454	PFI	run without warning	k_3	expression
LIHC	0.00525796759057767	OS	run without warning	k_3	expression
LIHC	0.83870951799554	PFI	run without warning	k_2	expression
LIHC	0.273509716834446	OS	run without warning	k_2	expression
