Dim1	Dim2	id	tsne
-22.5642362515888	-33.8387785407578	TCGA-OR-A5JM-01A-11R-A29S-07	indegree
-22.817375829452	-34.5822879999158	TCGA-OR-A5KZ-01A-11R-A29S-07	indegree
-23.9442584982824	-34.8818394234461	TCGA-OR-A5J7-01A-11R-A29S-07	indegree
-23.8469737845198	-34.9979604573959	TCGA-OR-A5K5-01A-11R-A29S-07	indegree
-23.3238633026267	-33.7665682265917	TCGA-OR-A5JC-01A-11R-A29S-07	indegree
13.4454589535123	1.02712079953172	TCGA-OR-A5J2-01A-11R-A29S-07	indegree
-8.92531455394863	-2.30491821043148	TCGA-PK-A5H9-01A-11R-A29S-07	indegree
-8.56581577944879	-14.9436500771321	TCGA-OR-A5JK-01A-11R-A29S-07	indegree
-22.6465984609032	-33.210049234408	TCGA-OR-A5J1-01A-11R-A29S-07	indegree
-9.01815666775465	-2.73552854327136	TCGA-OR-A5JR-01A-11R-A29S-07	indegree
-10.9635503666424	-16.3541136054552	TCGA-OR-A5LT-01A-11R-A29S-07	indegree
-23.5930291893997	-33.8753238500124	TCGA-OR-A5K8-01A-11R-A29S-07	indegree
-21.2515226059396	-32.6716709093204	TCGA-OU-A5PI-01A-12R-A29S-07	indegree
-23.6800674633066	-33.9138231061327	TCGA-OR-A5LG-01A-11R-A29S-07	indegree
-22.7176971569767	-33.3029925754764	TCGA-OR-A5LS-01A-11R-A29S-07	indegree
-23.5276978804492	-33.3495424053634	TCGA-OR-A5LD-01A-11R-A29S-07	indegree
-23.973078135541	-34.9349700737167	TCGA-OR-A5LC-01A-11R-A29S-07	indegree
-21.6207993634643	-32.6581838064826	TCGA-OR-A5L6-01A-11R-A29S-07	indegree
6.98093195094381	-0.4335916351197	TCGA-OR-A5JQ-01A-11R-A29S-07	indegree
-21.658318185894	-32.7886857882073	TCGA-OR-A5LO-01A-11R-A29S-07	indegree
12.554966853558	-0.0383778835242648	TCGA-PK-A5HA-01A-11R-A29S-07	indegree
-10.8735673848203	-15.2837772693263	TCGA-OR-A5L8-01A-11R-A29S-07	indegree
-22.691955386292	-32.1372693207241	TCGA-OR-A5L3-01A-11R-A29S-07	indegree
-23.9640236770489	-34.7924804834733	TCGA-OR-A5KY-01A-11R-A29S-07	indegree
-10.0244732854128	-14.9465193097172	TCGA-OR-A5LN-01A-11R-A29S-07	indegree
-23.9166132713799	-34.8953004367778	TCGA-OR-A5K2-01A-11R-A29S-07	indegree
15.6902313366303	-2.20258828519875	TCGA-P6-A5OG-01A-22R-A29S-07	indegree
-9.01193920827373	-2.68079273848765	TCGA-OR-A5JV-01A-11R-A29S-07	indegree
-22.8431968839159	-33.44199204095	TCGA-OR-A5J9-01A-11R-A29S-07	indegree
