Dim1	Dim2	id	tsne
-11.9941674409939	-22.402958320369	TCGA-OR-A5JM-01A-11R-A29S-07	indegree
-12.373481370685	-23.0515177836283	TCGA-OR-A5KZ-01A-11R-A29S-07	indegree
-13.5419893613117	-23.0560696277674	TCGA-OR-A5J7-01A-11R-A29S-07	indegree
-13.4509354843518	-23.1953835800721	TCGA-OR-A5K5-01A-11R-A29S-07	indegree
-12.719947155989	-22.1373362005438	TCGA-OR-A5JC-01A-11R-A29S-07	indegree
12.3037322246214	8.59051116113967	TCGA-OR-A5J2-01A-11R-A29S-07	indegree
-8.5851295383386	-3.1715350739698	TCGA-PK-A5H9-01A-11R-A29S-07	indegree
-1.58076929603953	-10.3169077590277	TCGA-OR-A5JK-01A-11R-A29S-07	indegree
-11.9153808331858	-21.7724830247728	TCGA-OR-A5J1-01A-11R-A29S-07	indegree
-9.00400971180497	-3.31980557792865	TCGA-OR-A5JR-01A-11R-A29S-07	indegree
-8.27881378463426	-5.53691985525846	TCGA-OR-A5LT-01A-11R-A29S-07	indegree
-13.0158193357799	-22.1698903951628	TCGA-OR-A5K8-01A-11R-A29S-07	indegree
-10.467341656486	-21.4792238091087	TCGA-OU-A5PI-01A-12R-A29S-07	indegree
-13.1014517129079	-22.1940739912173	TCGA-OR-A5LG-01A-11R-A29S-07	indegree
-12.0261259782621	-21.8411960318721	TCGA-OR-A5LS-01A-11R-A29S-07	indegree
-12.8523533219999	-21.6748012173944	TCGA-OR-A5LD-01A-11R-A29S-07	indegree
-13.5657592941885	-23.0909364457481	TCGA-OR-A5LC-01A-11R-A29S-07	indegree
-10.8469164263281	-21.4052328867984	TCGA-OR-A5L6-01A-11R-A29S-07	indegree
7.7506494599045	-2.90440286220124	TCGA-OR-A5JQ-01A-11R-A29S-07	indegree
-10.9028311437042	-21.5323805704117	TCGA-OR-A5LO-01A-11R-A29S-07	indegree
10.1691946678982	3.84957669065656	TCGA-PK-A5HA-01A-11R-A29S-07	indegree
-8.24576517504172	-4.48748564980973	TCGA-OR-A5L8-01A-11R-A29S-07	indegree
-11.6934800660693	-20.827819005463	TCGA-OR-A5L3-01A-11R-A29S-07	indegree
-13.5542323504743	-22.961880720148	TCGA-OR-A5KY-01A-11R-A29S-07	indegree
-2.80824071079852	-10.2165708567824	TCGA-OR-A5LN-01A-11R-A29S-07	indegree
-13.5120141961615	-23.0796045429312	TCGA-OR-A5K2-01A-11R-A29S-07	indegree
11.3655675225103	7.93873916626646	TCGA-P6-A5OG-01A-22R-A29S-07	indegree
-9.02749395557126	-3.21742721789362	TCGA-OR-A5JV-01A-11R-A29S-07	indegree
-12.1740353360936	-21.9494604088853	TCGA-OR-A5J9-01A-11R-A29S-07	indegree
-1.67895146314677	-10.5987110683656	TCGA-OR-A5K1-01A-11R-A29S-07	indegree
-12.0328590776551	-21.8831493936035	TCGA-OR-A5LB-01A-11R-A29S-07	indegree
-13.32279104202	-23.1236994992546	TCGA-OR-A5JP-01A-11R-A29S-07	indegree
-3.27931052014656	-10.2129367577842	TCGA-OR-A5JF-01A-11R-A29S-07	indegree
-9.68285162733855	-4.02659434296461	TCGA-OR-A5JI-01A-11R-A29S-07	indegree
-12.3355918496145	-21.9319795436951	TCGA-OR-A5LM-01A-11R-A29S-07	indegree
-12.0822088630951	-21.7963821472342	TCGA-OR-A5K3-01A-11R-A29S-07	indegree
-12.7397385496282	-22.2784846811785	TCGA-OR-A5KW-01A-11R-A29S-07	indegree
-8.34308554058302	-4.38049289777984	TCGA-OR-A5LL-01A-11R-A29S-07	indegree
