Cancer	Heterogeneity	Clinical outcome	PDL1 expression	Clinical features	Omics clusters	Immune Infiltration (CIBERSORTx)
ACC	yes	yes	R = 0.78***	yes	yes	yes
BLCA	yes	no				
BRCA	yes	yes	R = 0.28***	no	no	no
CESC	yes	yes	R = 0.45***	no	no	yes
CHOL	no					
COAD	no					
DLBC	yes	no				
ESCA	yes	no				
GBM	no					
HNSC	yes	no				
KICH	no					
KIRC	yes	yes	R = 0.15***	no	yes	yes
KIRP	no					
LAML	no					
LGG	yes	yes	R = 0.56***	yes	yes	no
LIHC	yes	yes	R = 0.23***	no	no	no
LUAD	yes	yes	R = 0.32***	no	no	no
LUSC	yes	no				
MESO	yes	no				
OV	yes	yes	R = 0.25***	no	no	no
PAAD	no					
PCPG	no					
PRAD	yes	yes	R = 0.37***	no	no	
READ	no					
SARC	yes	yes	R = 0.31***	yes	yes	yes
SKCM	yes	yes	R = 0.41***	no	no	yes
STAD	yes	yes	R = 0.2***	no	no	no
TGCT	yes	no				
THCA	yes	no				
THYM	yes	no				
UCEC	no					
UCS	yes	no				
UVM	yes	no				
