clinical_feature	cor	pval	component	padjust	log10padjust	cancer	principal_component
age_at_initial_pathologic_diagnosis	0.0912531009212141	0.0791923299113884	PC1	0.364284717592387	0.438559047820706	STAD	PC1
initial_pathologic_dx_year	-0.0235185255166483	0.650284590683303	PC1	0.712216456462665	0.147387995744105	STAD	PC1
last_contact_days_to	0.0717636543260709	0.279504409206164	PC1	0.512561230538208	0.290254246376676	STAD	PC1
DSS	-0.0589214441334454	0.268882259486772	PC1	0.512561230538208	0.290254246376676	STAD	PC1
DSS.time	0.132287860638253	0.0108590624226825	PC1	0.124879217860849	0.903509829995135	STAD	PC1
Age.at.Initial.Diagnosis	0.0853295342044591	0.189566297348777	PC1	0.512561230538208	0.290254246376676	STAD	PC1
Total.Mutation.Rate	0.00343093839230012	0.958098804990563	PC1	0.976417136271264	0.0103646072528576	STAD	PC1
Hypermutated	0.0690569091056099	0.289708521608552	PC1	0.512561230538208	0.290254246376676	STAD	PC1
EBV.positive	0.0799873175803579	0.216954108027504	PC1	0.512561230538208	0.290254246376676	STAD	PC1
TP53.mutation	0.0318578002324274	0.625567224136404	PC1	0.712216456462665	0.147387995744105	STAD	PC1
PIK3CA.mutation	0.166196961247501	0.0103804636292295	PC1	0.124879217860849	0.903509829995135	STAD	PC1
KRAS.mutation	-0.0616802427369323	0.344436638520414	PC1	0.565860191854966	0.247290857515155	STAD	PC1
ARID1A.mutation	0.0467188774839847	0.47410477435128	PC1	0.605800545004414	0.217670340292858	STAD	PC1
RHOA.mutation	0.0468255324735388	0.473095085381798	PC1	0.605800545004414	0.217670340292858	STAD	PC1
ARHGAP26.ARHGAP6.CLDN18.Rearrangement	-0.00194286808332413	0.976417136271264	PC1	0.976417136271264	0.0103646072528576	STAD	PC1
MET.Skipped.Exon.2	-0.0538456838200207	0.412293241027013	PC1	0.605800545004414	0.217670340292858	STAD	PC1
MET.Skipped.Exons.18.and.19	-0.0732434647288466	0.264461006517023	PC1	0.512561230538208	0.290254246376676	STAD	PC1
ABSOLUTE.Ploidy	-0.074495455152404	0.26261516479806	PC1	0.512561230538208	0.290254246376676	STAD	PC1
ABSOLUTE.Purity	-0.108393228503406	0.102570104873682	PC1	0.393185402015781	0.405402614801455	STAD	PC1
Estimated.Leukocyte.Percentage	0.115856580084963	0.0744317472934179	PC1	0.364284717592387	0.438559047820706	STAD	PC1
Percent.Tumor.Nuclei	-0.141110168293565	0.0288446014698747	PC1	0.221141944602373	0.655328875776428	STAD	PC1
Percent.Tumor.Cells	0.0353843158138683	0.585423158265189	PC1	0.708670138952597	0.149555866605397	STAD	PC1
Percent.Lymphocyte.Infiltration	-0.0489305057849433	0.450535440505916	PC1	0.605800545004414	0.217670340292858	STAD	PC1
age_at_initial_pathologic_diagnosis	-0.0900010042868253	0.365942615319145	PC1	0.709424910551519	0.149093565899142	SKCM	PC1
initial_pathologic_dx_year	0.0252218992074214	0.801327607746002	PC1	0.866742106337513	0.0621101048947221	SKCM	PC1
last_contact_days_to	0.0894052485140398	0.448739409914664	PC1	0.767199636305716	0.115091611716509	SKCM	PC1
DSS	-0.17344870724304	0.0797505640285264	PC1	0.603825699073128	0.219088407165623	SKCM	PC1
DSS.time	0.154687607259404	0.118723315843941	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
CDKN2A.cg13601799._meth	0.0492001653128332	0.69712547080695	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
KIT.cg10087973._meth	-0.139899966923357	0.266352638781904	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
BRAF_cna	0.121028024534222	0.340767843883671	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
NRAS_cna	0.0809515420164639	0.524845944198366	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
MITF_cna	0.139686220099454	0.270952023336126	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
KIT_cna	-0.0223549018094407	0.860815388447482	PC1	0.894572854661109	0.0483842843991705	SKCM	PC1
PDGFRA_cna	0.011959121305546	0.925275457638017	PC1	0.943069216438748	0.0254564311075904	SKCM	PC1
KDR_cna	-0.032588979135111	0.798227829915381	PC1	0.866742106337513	0.0621101048947221	SKCM	PC1
MYC_cna	-0.282977716465507	0.023467880198338	PC1	0.310949412627979	0.50731025921601	SKCM	PC1
CCND1_cna	-0.0466869964763836	0.714115464240916	PC1	0.80527914052699	0.0940535504684247	SKCM	PC1
CDK4_cna	-0.163314460160562	0.197244387974604	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
MDM2_cna	-0.119804289069043	0.34570833685708	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
TERT_cna	0.130270353175131	0.304890272949317	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
EP300_cna	0.120890682341541	0.341320116408621	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
NOTCH2_cna	0.00331808234005005	0.979240153339011	PC1	0.979240153339011	0.00911078676711003	SKCM	PC1
CDKN2A_cna	0.0724129987058012	0.569604737769452	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
PTEN_cna	0.0568348676821264	0.655540573543092	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
TP53_cna	-0.104922064671229	0.409306871623267	PC1	0.723108806534438	0.140796349286173	SKCM	PC1
PPP6C_cna	0.123881790504876	0.329418978446634	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
ARID2_cna	-0.13507692139349	0.287236355325016	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
IDH1_cna	-0.0587487968141364	0.644708299156749	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
MAP2K1_cna	-0.135238000633181	0.28665663450206	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
DDX3X_cna	-0.188018765053872	0.136801273204554	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
RAC1_cna	0.0688226362834709	0.588941215904251	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
NF1_cna	-0.0500105289791672	0.694729721538095	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
CASP8_cna	-0.0587487968141364	0.644708299156749	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
CTNNB1_cna	0.109190050612363	0.390408888205175	PC1	0.713505899133596	0.146602431868777	SKCM	PC1
PCDHGA1_cna	0.0700097291228278	0.58251528867191	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
SERPINB3_cna	-0.112810657049285	0.374790518781935	PC1	0.709424910551519	0.149093565899142	SKCM	PC1
IRF7_cna	-0.0516790077423528	0.685069718297954	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
HRAS_cna	-0.0516790077423528	0.685069718297954	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
PTPN11_cna	-0.141747740105801	0.263872610464067	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
KRAS_cna	-0.182993336102683	0.147799871722076	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
GNA11_cna	-0.0558535695454947	0.6611221497179	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
GNAQ_cna	0.229943830548718	0.0675687108080888	PC1	0.596856945471451	0.224129747994839	SKCM	PC1
AKT1_cna	0.0789102385758258	0.535384520000029	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
APC_cna	0.137723613254952	0.277808699024771	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
EZH2_cna	0.119580489284642	0.346616659070198	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
FBXW7_cna	0.0540533590328136	0.671409418589474	PC1	0.803209781581921	0.0951710112782572	SKCM	PC1
GNAS_cna	0.0906756665154609	0.47610685986526	PC1	0.788551986651838	0.103169669777338	SKCM	PC1
PIK3CA_cna	0.163047230809617	0.197988493672097	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
rnaseq_TERT.RSEM.NORM_DATA	-0.130386497733004	0.304455581198363	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
PIGMENT.SCORE	0.192136304553564	0.122216275267392	PC1	0.706564728104635	0.150848046453772	SKCM	PC1
NECROSIS	-0.0261075134676526	0.835165423087725	PC1	0.885275348472988	0.0529216290495651	SKCM	PC1
Tumour.content........nuceli.that.are.tumour.cells......0.100..	-0.267439085045811	0.0299399841571952	PC1	0.317363832066269	0.498442568535963	SKCM	PC1
LYMPHOCYTE.DISTRIBUTION	0.309839609957474	0.0113513945282976	PC1	0.200541303333257	0.697796166872416	SKCM	PC1
LYMPHOCYTE.DENSITY	0.320823668596638	0.00862917918661629	PC1	0.200541303333257	0.697796166872416	SKCM	PC1
LYMPHOCYTE.SCORE	0.327380993748481	0.00729177270164982	PC1	0.200541303333257	0.697796166872416	SKCM	PC1
age_at_initial_pathologic_diagnosis	0.067898480128413	0.276288854722793	PC2	0.363537966740518	0.439450226112077	SARC	PC2
initial_pathologic_dx_year	0.0801470538075958	0.202093108767567	PC2	0.306506977273205	0.513559634826604	SARC	PC2
last_contact_days_to	-0.0996666515702475	0.208424744545779	PC2	0.306506977273205	0.513559634826604	SARC	PC2
DSS	-0.129574617218088	0.0394468934732765	PC2	0.0986172336831912	1.00604718404961	SARC	PC2
DSS.time	-0.0167795270914009	0.788119251214367	PC2	0.820957553348299	0.0856792969891635	SARC	PC2
age_at_diagnosis	0.121608549193164	0.0816382621629528	PC2	0.160038018807076	0.795776833614462	SARC	PC2
pathologic_tumor_size	0.0295596374071134	0.679315202909946	PC2	0.771949094215848	0.112411338045212	SARC	PC2
OS_days	0.00401597742653332	0.95431449559795	PC2	0.95431449559795	0.0203084793895838	SARC	PC2
RFS_days	0.0573904812959575	0.412574362137575	PC2	0.491159954925685	0.308777049162809	SARC	PC2
avg_CN_12q13~15	0.244699295636013	0.000392959609967514	PC2	0.00143403343340051	2.84344072330414	SARC	PC2
AMP_12q15_DDIT3	0.0790685598599266	0.258597832356137	PC2	0.35916365605019	0.444707616257017	SARC	PC2
AMP_12q15_CDK4	0.231682326704351	0.000805957823548562	PC2	0.00251861819858926	2.59883766291604	SARC	PC2
AMP_12q15_HMGA2	0.244318427601138	0.000401529361352141	PC2	0.00143403343340051	2.84344072330414	SARC	PC2
AMP_12q15_MDM2	0.282072616719914	3.9981044769151e-05	PC2	0.000249881529807194	3.60226584391063	SARC	PC2
AMP_12q15_FRS2	0.273809859081888	6.82311436266938e-05	PC2	0.000341155718133469	3.46704734508465	SARC	PC2
mitotic_rate	-0.120987654825234	0.0832197697796794	PC2	0.160038018807076	0.795776833614462	SARC	PC2
Necrosis_score	-0.0245806964591725	0.725809229884067	PC2	0.788923075960942	0.10296534066174	SARC	PC2
leukocyte_fraction	0.781480985768068	0	PC2	0	Inf	SARC	PC2
purity	-0.663733826926781	2.27400085372728e-25	PC2	1.8950007114394e-24	23.7223906226489	SARC	PC2
ploidy	0.15385381240061	0.0345400519210044	PC2	0.0959445886694566	1.01797951469888	SARC	PC2
Genome_doublings	0.11147253977095	0.126738409952934	PC2	0.21123068325489	0.67524299617418	SARC	PC2
Cancer_DNA_fraction	-0.681963808934313	3.34569410978121e-27	PC2	4.18211763722651e-26	25.3786037552391	SARC	PC2
Subclona_genome_fraction	0.0611474835342956	0.403242310325881	PC2	0.491159954925685	0.308777049162809	SARC	PC2
CIN	0.12686164555615	0.0692054551542755	PC2	0.157285125350626	0.80331234720251	SARC	PC2
Mutation_Load	0.109796880213122	0.116171950464031	PC2	0.207449911542912	0.683086746019069	SARC	PC2
age_at_initial_pathologic_diagnosis	0.0280506810972036	0.533525741202553	PC1	0.768904744674268	0.11412745919039	PRAD	PC1
initial_pathologic_dx_year	-0.110785641848903	0.0168531059887955	PC1	0.117971741921568	0.928222007924603	PRAD	PC1
last_contact_days_to	-0.00764419894915264	0.866650876725523	PC1	0.943686510212236	0.0251722530496491	PRAD	PC1
DSS	-0.0718358214167354	0.111154850237505	PC1	0.382964938978205	0.416840984530836	PRAD	PC1
DSS.time	-0.00870833166272576	0.846753800143155	PC1	0.942975822886696	0.0254994420680806	PRAD	PC1
DFI	-0.107432022583435	0.0487732425189916	PC1	0.210193676776029	0.677380352925207	PRAD	PC1
DFI.time	0.0553902707277193	0.310663570347444	PC1	0.610170362561866	0.214548890906052	PRAD	PC1
Reviewed_Gleason_sum	0.0289361766924362	0.599885001689658	PC1	0.808839611003271	0.0921375883531308	PRAD	PC1
avgDNA_purity	-0.201741677879147	0.000448131589116394	PC1	0.00365974131111722	2.43654961163424	PRAD	PC1
ISOpure_purity	-0.264636073230572	1.0408173421505e-06	PC1	1.70000165884582e-05	4.769550654841	PRAD	PC1
DeMix_purity	-0.317918622626874	3.29189670611295e-09	PC1	1.61302938599535e-07	6.79235772060895	PRAD	PC1
avgRNA_purity	-0.292363331204579	6.03395392373982e-08	PC1	1.47831871131626e-06	5.83023192612761	PRAD	PC1
exon_imbalance_score	-0.224313492625684	3.81866949208866e-05	PC1	0.000462310292968524	3.33506643723536	PRAD	PC1
SPOP_mut	-0.0557910937507595	0.311548328405488	PC1	0.610170362561866	0.214548890906052	PRAD	PC1
FOXA1_mut	-0.0359725851084849	0.514272739759795	PC1	0.768904744674268	0.11412745919039	PRAD	PC1
MED12_mut	0.0229889449243012	0.67688319473482	PC1	0.850442988256569	0.0703547951795489	PRAD	PC1
IDH1_mut	0.0270241523689974	0.624211116163184	PC1	0.808839611003271	0.0921375883531308	PRAD	PC1
KMT2A_mut	-0.0550789221556965	0.317774898351538	PC1	0.610170362561866	0.214548890906052	PRAD	PC1
KMT2C_mut	-0.125171574427262	0.0227476158356877	PC1	0.139329146993587	0.85595802173576	PRAD	PC1
KMT2D_mut	-0.0040571504752831	0.941380832055499	PC1	0.955041227796232	0.0199778801252254	PRAD	PC1
KDM6A_mut	-0.00379199091534865	0.945205741846542	PC1	0.955041227796232	0.0199778801252254	PRAD	PC1
SETD2_mut	0.0693953542314996	0.207929136732172	PC1	0.566029316659801	0.247161074582304	PRAD	PC1
CHD1_mut	0.0480429375448843	0.383611523275969	PC1	0.696183875574906	0.157276039698581	PRAD	PC1
TP53_mut	-0.113774891243563	0.0385606931596601	PC1	0.188947396482335	0.723659087875813	PRAD	PC1
