cancer	feature	pvalue	hr	hr_lower	hr_upper	type	m	component
ACC	PC1	0.322954825016532	0.997318798948725	0.99202	1.0026	OS	run without warning	PC1
ACC	PC1	0.0357177257263842	0.995179081405695	0.9907	0.99968	PFI	run without warning	PC1
ACC	PC2	0.00291300386545546	1.01137804002062	1.0039	1.0189	OS	run without warning	PC2
ACC	PC2	1.74612673737153e-05	1.01364782874604	1.0074	1.0199	PFI	run without warning	PC2
BLCA	PC1	0.0502734526035967	0.997624639242774	0.99525	1	OS	run without warning	PC1
BLCA	PC1	0.577407533552185	0.999332847353236	0.99699	1.0017	PFI	run without warning	PC1
BLCA	PC2	0.980941968385635	0.999956143793263	0.99636	1.0036	OS	run without warning	PC2
BLCA	PC2	0.0652128300114606	0.996706879322307	0.99322	1.0002	PFI	run without warning	PC2
BRCA	PC1	0.211351314856146	0.99845441065702	0.99604	1.0009	OS	run without warning	PC1
BRCA	PC1	0.0495144563148011	0.997488160889874	0.99499	0.99999	PFI	run without warning	PC1
BRCA	PC2	0.127037708759522	0.997398712802254	0.99407	1.0007	OS	run without warning	PC2
BRCA	PC2	0.0653750712831689	0.996796170669131	0.9934	1.0002	PFI	run without warning	PC2
CESC	PC1	0.00929284566057751	0.995439004186168	0.99202	0.99887	OS	run without warning	PC1
CESC	PC1	0.00431610795292992	0.994925523516315	0.99146	0.99841	PFI	run without warning	PC1
CESC	PC2	0.635615186741727	1.001608303119	0.99497	1.0083	OS	run without warning	PC2
CESC	PC2	0.549173848097905	1.00208863581242	0.99527	1.009	PFI	run without warning	PC2
CHOL	PC1	0.396525318562217	0.995829979331162	0.98626	1.0055	OS	run without warning	PC1
CHOL	PC1	0.168181573197921	0.994043194444417	0.98563	1.0025	PFI	run without warning	PC1
CHOL	PC2	0.723892235527525	0.998251727076588	0.98861	1.008	OS	run without warning	PC2
CHOL	PC2	0.228070481829018	0.992777041672778	0.98114	1.0045	PFI	run without warning	PC2
COAD	PC1	0.779799377881185	1.00050789414172	0.99695	1.0041	OS	run without warning	PC1
COAD	PC1	0.570365974293245	0.999048554090013	0.99577	1.0023	PFI	run without warning	PC1
COAD	PC2	0.87321771225093	1.00035586397519	0.99599	1.0047	OS	run without warning	PC2
COAD	PC2	0.189370642683484	0.99742071053988	0.99358	1.0013	PFI	run without warning	PC2
DLBC	PC1	0.382170492810244	0.99602256791202	0.98716	1.005	OS	run without warning	PC1
DLBC	PC1	0.44677764208393	1.00338999932932	0.99468	1.0122	PFI	run without warning	PC1
DLBC	PC2	0.544659654184735	0.995278517284816	0.98015	1.0106	OS	run without warning	PC2
DLBC	PC2	0.986144191547372	0.999882319601024	0.98669	1.0133	PFI	run without warning	PC2
ESCA	PC1	0.484366188074508	0.998536696356882	0.99445	1.0026	OS	run without warning	PC1
