cancer	feature	pvalue	hr	hr_lower	hr_upper	type	m	component	component_type
ACC	PC2	0.00291300386545546	1.01137804002062	1.0039	1.0189	OS	run without warning	PC2	PC2_OS
BRCA	PC1	0.0495144563148011	0.997488160889874	0.99499	0.99999	PFI	run without warning	PC1	PC1_PFI
CESC	PC1	0.00929284566057751	0.995439004186168	0.99202	0.99887	OS	run without warning	PC1	PC1_OS
KIRC	PC2	0.00414835905771235	0.995474478548832	0.99239	0.99857	OS	run without warning	PC2	PC2_OS
LGG	PC1	1.81108976727025e-05	0.995417708751602	0.99333	0.99751	PFI	run without warning	PC1	PC1_PFI
LGG	PC2	0.0188599725491746	0.996434026464135	0.99347	0.99941	PFI	run without warning	PC2	PC2_PFI
LIHC	PC2	0.00511101264267718	0.993637440043187	0.98921	0.99809	OS	run without warning	PC2	PC2_OS
LUAD	PC1	0.00874680306209771	1.0028567182206	1.0007	1.005	OS	run without warning	PC1	PC1_OS
OV	PC2	0.0177147919025389	1.00487018526405	1.0008	1.0089	OS	run without warning	PC2	PC2_OS
PRAD	PC1	0.0287635840060542	0.996249154306435	0.9929	0.99961	PFI	run without warning	PC1	PC1_PFI
SARC	PC2	0.04415744864596	0.993978642953158	0.98815	0.99984	OS	run without warning	PC2	PC2_OS
SKCM	PC1	0.0457873211462613	0.994405435403156	0.98895	0.99989	OS	run without warning	PC1	PC1_OS
STAD	PC1	0.0181160295002211	0.996892519122018	0.99432	0.99947	OS	run without warning	PC1	PC1_OS
