cancer	pval	type	m	k	datatype
ACC	1.9239067680497e-08	PFI	run without warning	k_2	expression
ACC	6.99500575291296e-05	OS	run without warning	k_2	expression
ACC	4.19382375475792e-05	PFI	run without warning	k_4	indegree
ACC	0.000883944766615078	OS	run without warning	k_4	indegree
ACC	1.83409851014746e-06	PFI	run without warning	k_3	indegree
ACC	0.000584735460543967	OS	run without warning	k_3	indegree
ACC	0.000106125576181263	PFI	run without warning	k_2	indegree
ACC	0.00388911252466551	OS	run without warning	k_2	indegree
BLCA	0.214995211825796	PFI	run without warning	k_3	expression
BLCA	0.0144484604071929	OS	run without warning	k_3	expression
BLCA	0.0458116932018962	PFI	run without warning	k_2	expression
BLCA	0.000731295800467442	OS	run without warning	k_2	expression
BLCA	0.0106464827099616	PFI	run without warning	k_3	indegree
BLCA	0.0887223434989459	OS	run without warning	k_3	indegree
BLCA	0.468841781689881	PFI	run without warning	k_2	indegree
BLCA	0.640868690244573	OS	run without warning	k_2	indegree
BRCA	0.64594595381719	PFI	run without warning	k_4	expression
BRCA	0.392197569880337	OS	run without warning	k_4	expression
BRCA	0.601681220773693	PFI	run without warning	k_2	expression
BRCA	0.374375260528645	OS	run without warning	k_2	expression
BRCA	0.665463895765723	PFI	run without warning	k_4	indegree
BRCA	0.699027688592622	OS	run without warning	k_4	indegree
BRCA	0.294091529890673	PFI	run without warning	k_3	indegree
BRCA	0.714532954168349	OS	run without warning	k_3	indegree
BRCA	0.241721467110728	PFI	run without warning	k_2	indegree
BRCA	0.386330718809201	OS	run without warning	k_2	indegree
CESC	0.000709504317687045	PFI	run without warning	k_3	expression
CESC	0.154657126428108	OS	run without warning	k_3	expression
CESC	0.126180597303489	PFI	run without warning	k_3	indegree
CESC	0.310503970462848	OS	run without warning	k_3	indegree
CESC	0.0687142894635917	PFI	run without warning	k_2	indegree
CESC	0.85642521857795	OS	run without warning	k_2	indegree
CHOL	0.664113840485205	PFI	run without warning	k_2	expression
CHOL	0.505329282687124	OS	run without warning	k_2	expression
CHOL	0.180241730451486	PFI	run without warning	k_3	indegree
CHOL	0.623109285203895	OS	run without warning	k_3	indegree
CHOL	0.514850577436176	PFI	run without warning	k_2	indegree
CHOL	0.765296559704065	OS	run without warning	k_2	indegree
COAD	0.0963361315019717	PFI	run without warning	k_2	expression
COAD	0.224336648746326	OS	run without warning	k_2	expression
COAD	0.508882873707732	PFI	run without warning	k_4	indegree
COAD	0.233508405998497	OS	run without warning	k_4	indegree
COAD	0.23093423046093	PFI	run without warning	k_3	indegree
COAD	0.290174706650851	OS	run without warning	k_3	indegree
COAD	0.387190725617787	PFI	run without warning	k_2	indegree
COAD	0.243505540146675	OS	run without warning	k_2	indegree
DLBC	0.523224319319072	PFI	run without warning	k_3	expression
DLBC	0.318527879226895	OS	with warning	k_3	expression
DLBC	0.112372883548874	PFI	run without warning	k_2	expression
DLBC	0.238354321482074	OS	run without warning	k_2	expression
DLBC	0.709201302149584	PFI	with warning	k_6	indegree
DLBC	0.426103837452642	OS	with warning	k_6	indegree
ESCA	0.98770057323931	PFI	run without warning	k_2	expression
ESCA	0.590272521035443	OS	run without warning	k_2	expression
ESCA	0.640228947983797	PFI	run without warning	k_3	indegree
ESCA	0.617622143291621	OS	run without warning	k_3	indegree
ESCA	0.720376666747914	PFI	run without warning	k_2	indegree
ESCA	0.819610771765985	OS	run without warning	k_2	indegree
GBM	0.0223669634037367	PFI	run without warning	k_2	expression
GBM	0.534058018300053	OS	run without warning	k_2	expression
GBM	0.225075010462534	PFI	run without warning	k_5	indegree
GBM	0.0432959359427353	OS	run without warning	k_5	indegree
GBM	0.496785395020743	PFI	run without warning	k_3	indegree
