cancer	pathway	pathway_size	pc1	pval	es	p.adjust
ACC	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	127	26.091	0	7.97318752139356	0
ACC	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	100	25.803	0	7.55828289938986	0
ACC	REACTOME_COMPLEX_I_BIOGENESIS	55	27.164	0	6.02403168757198	0
ACC	REACTOME_PD_1_SIGNALING	21	32.082	0	5.47918193904145	0
ACC	REACTOME_CHOLESTEROL_BIOSYNTHESIS	25	29.525	0	5.141862459706	0
ACC	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	32	27.957	0	4.90760386452229	0
ACC	REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING	5	43.456	0	4.70089409229227	0
ACC	REACTOME_UBIQUINOL_BIOSYNTHESIS	8	37.823	0	4.68435257403878	0
ACC	REACTOME_SURFACTANT_METABOLISM	30	27.04	0	4.25967907395385	0
ACC	REACTOME_FCGR_ACTIVATION	12	32.956	0	4.19950455213085	0
ACC	REACTOME_GLUCOCORTICOID_BIOSYNTHESIS	10	33.868	0	4.1144692815155	0
ACC	REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	29	26.171	0	3.98420806935224	0
ACC	REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	13	31.462	0	3.89111215219179	0
ACC	REACTOME_SODIUM_COUPLED_PHOSPHATE_COTRANSPORTERS	5	39.53	0	3.84405041456919	0
ACC	REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC	16	29.746	0	3.74986440847748	0
ACC	REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS	13	30.294	0	3.5346826814326	0
ACC	REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	20	27.308	0	3.48255675300807	0
ACC	REACTOME_MINERALOCORTICOID_BIOSYNTHESIS	6	36.249	0	3.43582699712622	0
