Dim1	Dim2	id	tsne	cancer
32.3018304687783	32.0495945380802	TCGA-V4-A9EW-01A-11R-A405-07	expression	TCGA-UVM
34.4510705154995	31.8436355994046	TCGA-V4-A9F0-01A-11R-A405-07	expression	TCGA-UVM
34.3665645009064	32.5606527773979	TCGA-V4-A9E7-01A-11R-A405-07	expression	TCGA-UVM
32.4272692979949	32.1340776123942	TCGA-WC-A880-01A-11R-A405-07	expression	TCGA-UVM
35.078631456506	32.7221886622836	TCGA-VD-A8KK-01A-11R-A405-07	expression	TCGA-UVM
33.7095374618603	30.4996836850239	TCGA-WC-A87Y-01A-11R-A405-07	expression	TCGA-UVM
33.0359251671761	30.4986711537967	TCGA-RZ-AB0B-01A-11R-A405-07	expression	TCGA-UVM
31.7883595665668	31.4614637668578	TCGA-WC-A87W-01A-11R-A405-07	expression	TCGA-UVM
35.482241428578	32.8411601958215	TCGA-V4-A9EH-01A-11R-A405-07	expression	TCGA-UVM
33.170972040167	30.4117534278381	TCGA-V4-A9EI-01A-11R-A405-07	expression	TCGA-UVM
35.2558561949053	33.2056971040058	TCGA-VD-AA8M-01A-11R-A405-07	expression	TCGA-UVM
33.9880830708427	31.7091729216289	TCGA-WC-A883-01A-12R-A405-07	expression	TCGA-UVM
33.7904922741508	32.8871864690033	TCGA-VD-A8KA-01B-11R-A405-07	expression	TCGA-UVM
32.1993681216117	31.9417400479423	TCGA-V4-A9F4-01A-11R-A405-07	expression	TCGA-UVM
33.3060281124759	30.4012100850111	TCGA-V4-A9F1-01A-11R-A405-07	expression	TCGA-UVM
35.80358435961	33.7956521243361	TCGA-V4-A9EZ-01A-11R-A405-07	expression	TCGA-UVM
36.1476227252167	33.5886383128172	TCGA-V4-A9E8-01A-11R-A405-07	expression	TCGA-UVM
32.2976240418767	32.0973117056723	TCGA-VD-AA8R-01A-11R-A405-07	expression	TCGA-UVM
35.9294545194268	33.6211564828869	TCGA-V4-A9F8-01A-11R-A405-07	expression	TCGA-UVM
32.2361646127987	31.6912684156648	TCGA-V4-A9EO-01A-12R-A405-07	expression	TCGA-UVM
33.7448474164589	30.0644800325016	TCGA-VD-A8KM-01A-11R-A405-07	expression	TCGA-UVM
33.4457985557243	30.1773162157742	TCGA-VD-A8KD-01A-11R-A405-07	expression	TCGA-UVM
