group1	group2	p_value	effect_size	clin_feature	padjust	log10padjust	cancer	principal_component
AMERICAN INDIAN OR ALASKA NATIVE	ASIAN	0.273	0.237170824512628	race.x	1	0	UCEC	PC2
AMERICAN INDIAN OR ALASKA NATIVE	BLACK OR AFRICAN AMERICAN	0.342	0.0913484353802704	race.x	1	0	UCEC	PC2
AMERICAN INDIAN OR ALASKA NATIVE	NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER	0.199	0.385164443259822	race.x	1	0	UCEC	PC2
AMERICAN INDIAN OR ALASKA NATIVE	WHITE	0.264	0.05772180799255	race.x	1	0	UCEC	PC2
ASIAN	BLACK OR AFRICAN AMERICAN	0.751	0.0285480728870522	race.x	1	0	UCEC	PC2
ASIAN	NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER	0.871	0.0350150487625927	race.x	1	0	UCEC	PC2
ASIAN	WHITE	0.698	0.0196456351950019	race.x	1	0	UCEC	PC2
BLACK OR AFRICAN AMERICAN	NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER	0.469	0.067973019233826	race.x	1	0	UCEC	PC2
BLACK OR AFRICAN AMERICAN	WHITE	0.963	0.0021145234654733	race.x	1	0	UCEC	PC2
NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER	WHITE	0.395	0.0436263144136922	race.x	1	0	UCEC	PC2
Stage I	Stage IA	0.388	0.066717011326228	clinical_stage	1	0	UCEC	PC2
Stage I	Stage IB	0.455	0.0621472497218898	clinical_stage	1	0	UCEC	PC2
Stage I	Stage IC	0.673	0.0912421128246675	clinical_stage	1	0	UCEC	PC2
Stage I	Stage II	0.24	0.209165006633519	clinical_stage	1	0	UCEC	PC2
Stage I	Stage IIA	0.095	0.602464076076709	clinical_stage	1	0	UCEC	PC2
Stage I	Stage IIB	0.189	0.353153216848064	clinical_stage	1	0	UCEC	PC2
Stage I	Stage III	0.2	0.774596669241483	clinical_stage	1	0	UCEC	PC2
Stage I	Stage IIIA	0.345	0.152671765811855	clinical_stage	1	0	UCEC	PC2
Stage I	Stage IIIB	0.548	0.258198889747161	clinical_stage	1	0	UCEC	PC2
Stage I	Stage IIIC	0.14	0.258966198689119	clinical_stage	1	0	UCEC	PC2
Stage I	Stage IIIC1	0.398	0.18397324220156	clinical_stage	1	0	UCEC	PC2
Stage I	Stage IIIC2	0.238	0.250872603002127	clinical_stage	1	0	UCEC	PC2
Stage I	Stage IV	0.857	0.133630620956212	clinical_stage	1	0	UCEC	PC2
Stage I	Stage IVA	1	0.0890870806374748	clinical_stage	1	0	UCEC	PC2
Stage I	Stage IVB	0.311	0.217422922601844	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage IB	0.961	0.00279677968841435	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage IC	0.238	0.0853618056519896	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage II	0.134	0.106412801343222	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage IIA	0.743	0.0252301061594485	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage IIB	0.146	0.108533995429941	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage III	0.225	0.093935307780896	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage IIIA	0.25	0.0800703300358779	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage IIIB	0.581	0.0422604278170763	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage IIIC	0.045	0.142042087507247	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage IIIC1	0.992	0.000904762515117776	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage IIIC2	0.482	0.051269875856674	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage IV	0.523	0.0492357618752526	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage IVA	0.962	0.00408471497915682	clinical_stage	1	0	UCEC	PC2
Stage IA	Stage IVB	0.751	0.0232222378880229	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage IC	0.289	0.0817490663575473	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage II	0.145	0.109868960952229	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage IIA	0.575	0.0462010302639357	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage IIB	0.186	0.105735948656254	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage III	0.308	0.0849941664162377	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage IIIA	0.291	0.0779282923119434	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage IIIB	0.511	0.054031713359518	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage IIIC	0.051	0.147166581907065	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage IIIC1	0.998	0.000369645783796647	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage IIIC2	0.462	0.0572950964884803	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage IV	0.439	0.0641503935382466	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage IVA	0.929	0.00790964996460413	clinical_stage	1	0	UCEC	PC2
Stage IB	Stage IVB	0.622	0.0384431615148513	clinical_stage	1	0	UCEC	PC2
Stage IC	Stage II	0.041	0.270519095004864	clinical_stage	1	0	UCEC	PC2
Stage IC	Stage IIA	0.227	0.224506627533469	clinical_stage	1	0	UCEC	PC2
Stage IC	Stage IIB	0.044	0.326938556432768	clinical_stage	1	0	UCEC	PC2
Stage IC	Stage III	0.091	0.338530906422404	clinical_stage	1	0	UCEC	PC2
Stage IC	Stage IIIA	0.105	0.202370566421716	clinical_stage	1	0	UCEC	PC2
Stage IC	Stage IIIB	0.448	0.14368424162142	clinical_stage	1	0	UCEC	PC2
Stage IC	Stage IIIC	0.016	0.317380670517517	clinical_stage	1	0	UCEC	PC2
Stage IC	Stage IIIC1	0.325	0.146163047189214	clinical_stage	1	0	UCEC	PC2
Stage IC	Stage IIIC2	0.134	0.220799496817749	clinical_stage	1	0	UCEC	PC2
Stage IC	Stage IV	0.831	0.0469776175611763	clinical_stage	1	0	UCEC	PC2
Stage IC	Stage IVA	0.673	0.0912421128246676	clinical_stage	1	0	UCEC	PC2
Stage IC	Stage IVB	0.266	0.164822159596348	clinical_stage	1	0	UCEC	PC2
Stage II	Stage IIA	0.861	0.0324702708416332	clinical_stage	1	0	UCEC	PC2
Stage II	Stage IIB	0.757	0.0485290888413137	clinical_stage	1	0	UCEC	PC2
Stage II	Stage III	0.649	0.087866877919351	clinical_stage	1	0	UCEC	PC2
Stage II	Stage IIIA	0.888	0.0173620623788092	clinical_stage	1	0	UCEC	PC2
